id,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2432311,Large Private Bed/Bathroom in Home,12432655,Nicole,2014-02-20,"Austin, Texas, United States",within a few hours,1.0,0.93,False,,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.357320598108267,-97.64198872233816,t,House,Private room,6,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",50.0,,,4,10.0,1,30,19,44,63,153,76,2014-03-09,2015-11-02,94.0,10.0,9.0,10.0,10.0,9.0,10.0,False,moderate,f,f,1,3.74
9298752,Comfortable relaxing house,48273901,Christine,2015-11-05,US,,,,False,,1.0,1.0,"['email', 'phone', 'google', 'jumio']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.37438161830868,-97.65397708310525,t,House,Entire home/apt,5,2.5,4.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer}",120.0,,,1,0.0,1,1125,27,55,85,360,0,,,,,,,,,,False,flexible,f,f,1,
7725153,3 bedroom home 15 minutes from DT,40591749,Kevin,2015-08-05,US,within a day,0.5,,False,,1.0,1.0,"['email', 'phone']",t,False,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.334929488264294,-97.64619873646448,t,House,Entire home/apt,8,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450.0,,,1,0.0,1,1125,0,0,0,68,0,,,,,,,,,,False,flexible,f,f,1,
3928248,Private Bed in Cozy French House!,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,1.0,0.75,True,,2.0,2.0,"['email', 'phone', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.33455215942941,-97.65012697255156,t,House,Private room,2,1.5,1.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,Shampoo}",49.0,100.0,20.0,2,25.0,1,28,19,49,79,354,14,2014-09-01,2015-10-14,99.0,10.0,10.0,10.0,10.0,9.0,10.0,False,strict,f,f,2,0.97
6749902,Cozy and private guest room,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,1.0,0.87,False,,2.0,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.37688928859114,-97.65697961257028,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Fire Extinguisher""}",36.0,100.0,,1,10.0,1,1125,29,59,89,364,8,2015-07-03,2015-10-31,83.0,7.0,8.0,9.0,8.0,9.0,9.0,False,moderate,f,f,2,1.86
6169536,Near downtown Austin on greenbelt!,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,0.8,1.0,False,,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.36832708507449,-97.65316172870575,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",75.0,100.0,15.0,1,20.0,1,1125,30,60,90,365,1,2015-10-17,2015-10-17,100.0,10.0,10.0,10.0,10.0,10.0,8.0,False,strict,f,f,2,1.0
5839837,Room in a House in Northeast Austin,11277513,Jo,2014-01-13,"Austin, Texas, United States",within a day,0.71,0.5,False,,2.0,2.0,"['email', 'phone', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.36382163154577,-97.61802795945523,t,House,Private room,2,1.0,1.0,1.0,Airbed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer""}",50.0,,,1,0.0,1,1125,30,60,90,353,1,2015-10-13,2015-10-13,60.0,6.0,8.0,8.0,8.0,4.0,8.0,False,flexible,f,f,1,1.0
5625550,Master Suite in Nice Austin Home,28705030,Lauren,2015-03-03,"Austin, Texas, United States",,,,False,,1.0,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.37510553778606,-97.64849103447982,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Shampoo}",70.0,200.0,30.0,1,0.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,1,
6691572,Private Room in Large Home,33918864,Tracy,2015-05-21,"Austin, Texas, United States",,,,False,,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,True,,78754,Austin,TX,78754.0,Austin,"Austin, TX",US,United States,30.34510456121488,-97.61362260100056,t,House,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",36.0,,,2,5.0,1,1125,23,53,83,358,0,,,,,,,,,,False,flexible,f,f,1,
5682731,HUGE ROOM W/ BATH -- CLS TO DWNTOWN,29281190,Lucy,2015-03-13,US,within a day,0.5,,False,,2.0,2.0,"['email', 'phone']",t,False,,78754,Austin,TX,78753.0,Austin,"Austin, TX",US,United States,30.40238265380577,-97.64495064724196,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",110.0,,,1,0.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,1,
